"name","avg"
Stearns MacFeather,46407.000000000000
Ann Dull,55090.000000000000
Morningstar Greene,88124.000000000000
Marjorie Green,109395.000000000000
Johnson White,126133.000000000000
Anne Ringer,136767.000000000000
Cheryl Carson,139818.000000000000
Reginald Blotchet-Halls,151773.000000000000
Charlene Locksley,152007.000000000000
Michael O'Leary,161108.000000000000
Burt Gringlesby,167993.000000000000
Abraham Bennet,170983.000000000000
Sylvia Panteley,179517.000000000000
Meander Smith,188075.000000000000
Sheryl Hunter,225515.000000000000
